zip,city,county,SPCS83_Code
75001,Addison,Dallas,4202
75002,Allen,Collin,4202
75006,Carrollton,Dallas,4202
75007,Carrollton,Denton,4202
75009,Celina,Collin,4202
75010,Carrollton,Denton,4202
75011,Carrollton,Dallas,4202
75013,Allen,Collin,4202
75014,Irving,Dallas,4202
75015,Irving,Dallas,4202
75016,Irving,Dallas,4202
75017,Irving,Dallas,4202
75019,Coppell,Dallas,4202
75020,Denison,Grayson,4202
75021,Denison,Grayson,4202
75022,Flower Mound,Denton,4202
75023,Plano,Collin,4202
75024,Plano,Collin,4202
75025,Plano,Collin,4202
75026,Plano,Collin,4202
75027,Flower Mound,Denton,4202
75028,Flower Mound,Denton,4202
75029,Lewisville,Denton,4202
75030,Rowlett,Dallas,4202
75032,Rockwall,Rockwall,4202
75033,Frisco,Denton,4202
75034,Frisco,Collin,4202
75035,Frisco,Collin,4202
75036,Frisco,Denton,4202
75037,Irving,Dallas,4202
75038,Irving,Dallas,4202
75039,Irving,Dallas,4202
75040,Garland,Dallas,4202
75041,Garland,Dallas,4202
75042,Garland,Dallas,4202
75043,Garland,Dallas,4202
75044,Garland,Dallas,4202
75045,Garland,Dallas,4202
75046,Garland,Dallas,4202
75047,Garland,Dallas,4202
75048,Sachse,Dallas,4202
75049,Garland,Dallas,4202
75050,Grand Prairie,Dallas,4202
75051,Grand Prairie,Dallas,4202
75052,Grand Prairie,Dallas,4202
75053,Grand Prairie,Dallas,4202
75054,Grand Prairie,Tarrant,4202
75056,The Colony,Denton,4202
75057,Lewisville,Denton,4202
75058,Gunter,Grayson,4202
75059,Irving,Dallas,4202
75060,Irving,Dallas,4202
75061,Irving,Dallas,4202
75062,Irving,Dallas,4202
75063,Irving,Dallas,4202
75064,Irving,Dallas,4202
75065,Lake Dallas,Denton,4202
75067,Lewisville,Denton,4202
75068,Little Elm,Denton,4202
75069,Mckinney,Collin,4202
75070,Mckinney,Collin,4202
75071,Mckinney,Collin,4202
75072,Mckinney,Collin,4202
75074,Plano,Collin,4202
75075,Plano,Collin,4202
75076,Pottsboro,Grayson,4202
75077,Lewisville,Denton,4202
75078,Prosper,Collin,4202
75080,Richardson,Dallas,4202
75081,Richardson,Dallas,4202
75082,Richardson,Collin,4202
75083,Richardson,Dallas,4202
75085,Richardson,Dallas,4202
75086,Plano,Collin,4202
75087,Rockwall,Rockwall,4202
75088,Rowlett,Dallas,4202
75089,Rowlett,Dallas,4202
75090,Sherman,Grayson,4202
75091,Sherman,Grayson,4202
75092,Sherman,Grayson,4202
75093,Plano,Collin,4202
75094,Plano,Collin,4202
75097,Weston,Collin,4202
75098,Wylie,Collin,4202
75099,Coppell,Dallas,4202
75101,Bardwell,Ellis,4202
75102,Barry,Navarro,4202
75103,Canton,Van Zandt,4202
75104,Cedar Hill,Dallas,4202
75105,Chatfield,Navarro,4202
75106,Cedar Hill,Dallas,4202
75109,Corsicana,Navarro,4202
75110,Corsicana,Navarro,4202
75114,Crandall,Kaufman,4202
75115,Desoto,Dallas,4202
75116,Duncanville,Dallas,4202
75117,Edgewood,Van Zandt,4202
75118,Elmo,Kaufman,4202
75119,Ennis,Ellis,4202
75120,Ennis,Ellis,4202
75121,Copeville,Collin,4202
75123,Desoto,Dallas,4202
75124,Eustace,Henderson,4202
75125,Ferris,Ellis,4202
75126,Forney,Kaufman,4202
75127,Fruitvale,Van Zandt,4202
75132,Fate,Rockwall,4202
75134,Lancaster,Dallas,4202
75135,Caddo Mills,Hunt,4202
75137,Duncanville,Dallas,4202
75138,Duncanville,Dallas,4202
75140,Grand Saline,Van Zandt,4202
75141,Hutchins,Dallas,4202
75142,Kaufman,Kaufman,4202
75143,Kemp,Henderson,4202
75144,Kerens,Navarro,4202
75146,Lancaster,Dallas,4202
75147,Mabank,Kaufman,4202
75148,Malakoff,Henderson,4202
75149,Mesquite,Dallas,4202
75150,Mesquite,Dallas,4202
75151,Corsicana,Navarro,4202
75152,Palmer,Ellis,4202
75153,Powell,Navarro,4202
75154,Red Oak,Ellis,4202
75155,Rice,Navarro,4202
75156,Mabank,Henderson,4202
75157,Rosser,Kaufman,4202
75158,Scurry,Kaufman,4202
75159,Seagoville,Dallas,4202
75160,Terrell,Kaufman,4202
75161,Terrell,Kaufman,4202
75163,Trinidad,Henderson,4202
75164,Josephine,Collin,4202
75165,Waxahachie,Ellis,4202
75166,Lavon,Collin,4202
75167,Waxahachie,Ellis,4202
75168,Waxahachie,Ellis,4202
75169,Wills Point,Van Zandt,4202
75172,Wilmer,Dallas,4202
75173,Nevada,Collin,4202
75180,Balch Springs,Dallas,4202
75181,Mesquite,Dallas,4202
75182,Sunnyvale,Dallas,4202
75185,Mesquite,Dallas,4202
75187,Mesquite,Dallas,4202
75189,Royse City,Rockwall,4202
75201,Dallas,Dallas,4202
75202,Dallas,Dallas,4202
75203,Dallas,Dallas,4202
75204,Dallas,Dallas,4202
75205,Dallas,Dallas,4202
75206,Dallas,Dallas,4202
75207,Dallas,Dallas,4202
75208,Dallas,Dallas,4202
75209,Dallas,Dallas,4202
75210,Dallas,Dallas,4202
75211,Dallas,Dallas,4202
75212,Dallas,Dallas,4202
75214,Dallas,Dallas,4202
75215,Dallas,Dallas,4202
75216,Dallas,Dallas,4202
75217,Dallas,Dallas,4202
75218,Dallas,Dallas,4202
